accuracy,loss,val_accuracy,val_loss
0.8110646605491638,0.4058705270290375,0.8978328108787537,0.24991469085216522
0.9012746810913086,0.23824559152126312,0.9341589212417603,0.17883329093456268
0.9301749467849731,0.17853422462940216,0.9417956471443176,0.15583081543445587
0.9439025521278381,0.14637650549411774,0.9450980424880981,0.14353258907794952
0.9489085078239441,0.12721510231494904,0.9484004378318787,0.1450914740562439
0.9581978917121887,0.11168461292982101,0.9496387839317322,0.1382858157157898
0.9626361131668091,0.09703155606985092,0.958720326423645,0.12237261235713959
0.9656293392181396,0.09251640737056732,0.9601651430130005,0.11948861926794052
0.9679517149925232,0.08649179339408875,0.9535603523254395,0.13546276092529297
0.9715126156806946,0.07829836010932922,0.9562435746192932,0.12346252799034119
0.9746606945991516,0.06999959796667099,0.9589267373085022,0.12284471094608307
0.9749703407287598,0.06788552552461624,0.9601651430130005,0.11748490482568741
0.9757960438728333,0.0678665041923523,0.9630547165870667,0.11483845859766006
0.9781699776649475,0.057686641812324524,0.9609907269477844,0.11770614236593246
0.9797698259353638,0.05865979194641113,0.9616098999977112,0.11244674772024155
0.978324830532074,0.05777473747730255,0.9628483057022095,0.12027183175086975
0.9809051752090454,0.05354022607207298,0.9611971378326416,0.11680521816015244
0.9813180565834045,0.04992700740695,0.9640867114067078,0.12256988137960434
0.9840532541275024,0.0482366569340229,0.9626418948173523,0.1211281567811966
0.9820921421051025,0.04791319742798805,0.9638803005218506,0.12259699404239655
